
Lembongan:
"date","Kitchen","Non_Operasional","Lain_Lain","Proyek_Besar","total"
1,0,0,20000,0,20000
2,1220000,0,63000,0,1283000
3,828000,0,0,0,828000
4,2436500,715000,50000,0,3201500
5,539000,0,190000,0,729000
6,1146000,250000,1038500,0,2434500
7,504000,5110000,50000,129000,5793000
8,69000,0,95000,0,164000
9,834000,100000,0,0,934000
10,1050000,1005000,303500,0,2358500
11,525000,300000,0,0,825000
13,0,400000,50000,0,450000
14,1159800,0,3352663,0,4512463
15,208000,2888500,126000,0,3222500
16,0,650000,190000,0,840000
17,165000,24000,0,0,189000
18,0,546000,0,0,546000
20,705000,100000,357000,0,1162000
21,0,250000,4404939,0,4654939
22,742000,0,15000,220000,977000
24,3217000,0,98000,0,3315000
25,0,3155800,80000,0,3235800
26,0,1370000,0,0,1370000
28,275000,245000,223000,0,743000
29,0,0,5003500,0,5003500
30,0,84000,105000,0,189000
31,363000,0,540000,0,903000
"Sub Total",15986300,17193300,16355102,349000,49883702
,

Putra Kembar:
"date","Kitchen","Non_Operasional","Lain_Lain","Proyek_Besar","total"
2,710000,0,0,0,710000
4,2440000,0,250000,0,2690000
6,1638000,115000,160000,0,1913000
8,1187000,0,65000,0,1252000
10,1305000,0,660000,0,1965000
14,552000,0,240000,0,792000
16,626000,0,0,0,626000
20,598000,440000,0,0,1038000
23,568000,0,0,0,568000
24,1283000,0,0,0,1283000
26,269000,0,0,0,269000
27,98000,0,55000,0,153000
30,1342000,0,0,0,1342000
"Sub Total",12616000,555000,1430000,0,14601000
,

Mele:
"date","Kitchen","Non_Operasional","Lain_Lain","Proyek_Besar","total"
14,1250000,0,0,0,1250000
26,990000,0,0,0,990000
"Sub Total",2240000,0,0,0,2240000
,

Other:
"date","Kitchen","Non_Operasional","Lain_Lain","Proyek_Besar","total"
1,0,0,20000,0,2290000
2,1930000,0,50000,0,2043000
3,828000,0,700000,0,1528000
4,4876500,715000,1750000,0,7921500
5,539000,0,150000,0,879000
6,2784000,365000,1198500,0,4347500
7,504000,5110000,50000,129000,5793000
8,1256000,0,160000,0,1416000
9,834000,100000,1000000,0,2704000
10,2355000,1005000,963500,0,4323500
11,525000,300000,0,0,825000
13,0,400000,50000,0,450000
14,2961800,0,3592663,0,6554463
15,208000,2888500,126000,0,3222500
16,626000,650000,190000,0,1466000
17,165000,24000,0,0,189000
18,0,546000,0,0,546000
20,1303000,540000,357000,0,2200000
21,0,250000,4404939,0,4654939
22,742000,0,15000,220000,977000
23,568000,0,125000,0,693000
24,4500000,0,98000,0,4598000
25,0,3155800,80000,0,3235800
26,1259000,1370000,0,0,2629000
27,98000,0,55000,0,153000
28,275000,245000,223000,0,743000
29,0,0,5003500,0,5003500
30,1342000,84000,105000,0,1531000
31,363000,0,540000,0,903000
"Sub Total",30842300,17748300,21007102,349000,73819702
,
